Name,Price
Frozen Pangasius Steak 500Gm,300.0
N&H Pangas Filet (1 kg) : By Nina & Hager,900.0
N&H Dry Anchovy 500Gm : By Nina & Hager,1100.0
Trout Fish : By Nina & Hager,3458.0
Rupchand Fish (Whole Fish) : By Wellness Health Food Shop,675.0
Buff,0.0
Buff Sausage (500 gms) - NH : By Nina & Hager,475.0
Hot Dog Buff Sausage (400 gms) - NH : By Nina & Hager,380.0
Buff Mince (500 gms) - NH : By Nina & Hager,400.0
Mutton,0.0
Mutton Mince (500 gm) : By Nina & Hager,850.0
Pork,0.0
N&H Pork Chop (Thai ) (1 kg) : By Nina & Hager,1650.0
B/L Pork Cubes (500 gms) - NH : By Nina & Hager,700.0
English Sausage (Pork) (400 gms) - NH : By Nina & Hager,480.0
German Bratwurst (BBQ Pork Sausage) (400 gms) - NH : By Nina & Hager,480.0
N&H B/F Pork Sausage 500Gm : By Nina & Hager,600.0
N&H Green Peppercorn Lyoner Pork 250Gm : By Nina & Hager,850.0
Pork Mince (500 gms) - NH : By Nina & Hager,600.0
Prime Bacon Slice 250Gm-Thai,900.0
Prime Bacon Slice 500Gm,1000.0
Sicilian Sausage 400 gms) - NH : By Nina & Hager,542.4
N&H Pork Sausage (Red Chilli) 500Gm : By Nina & Hager,600.0
N&H German White Wurst (Pork) 400Gm : By Nina & Hager,480.0
N&H Pork Belly (2560 gm) : By Nina & Hager,3968.0
N&H Hot Dog Pork Sausage 400Gm : By Nina & Hager,460.0
Toast Ham 250Gm,900.0
Vitali Coppa Ham 100Gm,550.0
Vitali Prosciutto Crudo Stagionato (Ham)100Gm,730.0
Vitali Salame Milano 100Gm,630.0
Vitali Spinata Piccante (Chilli Salami)-100Gm,585.0
Pork Sausage- 500 Gm : By Nina & Hager,575.0
N&H Pork Belly (840 gm) : By Nina & Hager,1271.0
Kombucha (300 ml) Bottle : By Wellness Health Food Shop,150.0
Spreads,0.0
Druk Mixed Fruit Jam : By Home Supplies,195.0
American Garden Mayonnaise : By Nina & Hager,1270.0
Syrup Chocolate (680 gm)- American Garden : By Home Supplies,730.0
King Bell Mayonnaise (946 ml) : By Nina & Hager,545.0
Ready to Drink,0.0
Kombucha (1 Ltr) : By Wellness Health Food Shop,300.0
Coffee,0.0
"NESCAFE Classic (Two 200 gm, Packets) - 400 gm : By Home Supplies",1440.0
Nescafe Red Cup (380 gm),1180.0
"Fresh 2 Go Plain Tortilla Bread 8""12Nx45G-540Gm",495.0
Dry Fruits,0.0
Cashew (250g) : By Home Supplies,505.0
Almonds (500g) : By Home Supplies,840.0
Moby Tuna (170 gm),200.0
Roza Tuna,200.0
How How Rice Stick (500 gm) : By Home Supplies,360.0
Veg Items,0.0
N&H Green Peas (1 KG) : By Nina & Hager,270.0
French Fries (420 gm) : By Nina & Hager,305.0
Sweet Corn 1Kg-Yogo Fresh-N&H : By Nina & Hager,270.0
Mccain French Fries 2.5Kg : By Nina & Hager,1050.0
N&H Fresh Corn (1 kg) : By Nina & Hager,372.9
N&H Sweet Corn : By Nina & Hager,270.0
Turmeric Powder (500 gm) : By Wellness Health Food Shop,450.0
Methi (500gm) : By Home Supplies,95.0
Jeera Seeds (500gm) : By Home Supplies,650.0
Jwano (500gm) : By Home Supplies,225.0
Timmur (500 gm) : By Home Supplies,900.0
Dhaniya Seeds (500 gm) : By Home Supplies,175.0
Bajra Corriander Powder (500 gm) : By Home Supplies,200.0
Bajra Cumin Powder (500 gm) : By Home Supplies,685.0
BMC Chicken Masala (50 gm) : By Home Supplies,60.0
BMC  Curry Powder (50 gm) : By Home Supplies,60.0
BMC Garam Masala (50 gm) : By Home Supplies,70.0
BMC Momo Masala (50 gm) : By Home Supplies,60.0
Brown Sugar Powder (500 gm) : By Wellness Health Food Shop,200.0
Raw Sugar Powder (Pkt- 250gm) : By Wellness Health Food Shop,120.0
Raddish Pickle Bottle : By Wellness Health Food Shop,190.0
Jaggery (516gm) : By Wellness Health Food Shop,98.0
Sunflow Sunflower Oil (1 Ltr) : By Home Supplies,265.0
Dot Powder 500 gm,50.0
Moti Soap 500 gm,100.0
Druk Soya Sauce 800 ml,115.0
Kikkoman Soy Sauce (1 ltr) : By Home Supplies,830.0
Thai Oyster Sauce  (600 ml) : By Home Supplies,650.0
Figaro Black Olives (340 gm) : By Home Supplies,280.0
Roza Sweet Chilli Sauce (730 gm) : By Home Supplies,455.0
Dragon Mayonnaise (900 gm),450.0
Dragon Soy Sauce (750 ml),110.0
Hershey's Chocolate Syrup 680 gms : By Home Supplies,565.0
Druk Pineapple Slice in Syrup 850 gms : By Home Supplies,395.0
Golden Crown Pineapple Slice,395.0
Legume,0.0
Musuro Daal (Red) 1 kg : By Wellness Health Food Shop,300.0
Simi Ko Daal (1 kg) : By Wellness Health Food Shop,350.0
Khoste Mung Daal (1 kg) : By Wellness Health Food Shop,300.0
Mass Ko Daal (Kalo Daal)- 1 kg : By Wellness Health Food Shop,300.0
Rahar Daal (1 kg) : By Home Supplies,225.0
Maas Ko Daal (Black  Daal) (1 kg) : By Home Supplies,215.0
HS Rajma (1 kg) : By Home Supplies,290.0
More Local Products,0.0
Buck Wheat Flour (1 kg) : By Wellness Health Food Shop,300.0
